"class","title","people"
"보건복지","강북 삼성병원 의료진 사망사건에 관련한 의료 안정성 ...","60919"
"일자리","소방공무원 국가직전환 법안통과","41527"
"일자리","주휴수당 제도 폐지를 청원합니다 .","37743"
"외교/통일/국방","국민의 세금으로 만든 예산을 더이상 잘못된 방법으로 ...","35505"
"정치개혁","더불어민주당 이해찬 당대표 퇴진 및 지도부 사퇴 요 ...","34718"
"인권/성평등","저는 거짓말하나로 성범죄자취급을 받고삽니다.","30624"
"정치개혁","여.야는 속히 공수처 신설하라 !!!","30571"
"교통/건축/국토","***의 과천 투기를 조사해주세요","25380"
"보건복지","지역아동센터를 살려주세요!!!!!","23802"
"교통/건축/국토","동탄신도시 교통망 확충 청원","23063"
"행정","자치경찰제 시행에 따른 경찰 직급조정 및 공안직군 ...","22828"
"외교/통일/국방","아들 면회 후 귀가 일가족 교통사고(병역면제)","22346"
"교통/건축/국토","거가대교 통행료를 인하해 주십시오!","21098"
"인권/성평등","디스패치의 폐지를 요구합니다.","20661"
"육아/교육","거제 폭력학생(거짓말 인터뷰) 학교폭력 가해자에 대 ...","20594"
